,City,CLoundiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
76,Severo-Kuril'sk,81,RU,2021-04-16,60,50.6789,156.125,2.34,3.94
77,Salalah,0,OM,2021-04-16,73,17.0151,54.0924,25.0,2.57
78,Hamilton,1,US,2021-04-16,71,39.1834,-84.5333,10.0,1.24
79,Chegdomyn,100,RU,2021-04-16,69,51.1167,133.0167,7.29,1.15
80,Zanjān,78,IR,2021-04-16,46,36.6736,48.4787,10.57,1.58
81,Ayagoz,100,KZ,2021-04-16,31,47.9714,80.4392,13.57,1.45
82,Yellowknife,40,CA,2021-04-16,56,62.456,-114.3525,6.0,3.6
83,Souillac,40,MU,2021-04-16,88,-20.5167,57.5167,25.0,2.06
84,Hervey Bay,40,AU,2021-04-16,57,-25.2986,152.8535,26.0,5.14
85,Bathsheba,40,BB,2021-04-16,61,13.2167,-59.5167,27.0,7.72
86,Saint-Philippe,0,RE,2021-04-16,83,-21.3585,55.7679,25.0,1.54
87,Fortuna,1,US,2021-04-16,100,40.5982,-124.1573,10.56,4.63
88,Bengkulu,93,ID,2021-04-16,72,-3.8004,102.2655,27.76,0.7
89,Monroe,90,US,2021-04-16,93,43.1501,-77.6831,5.56,3.09
90,Vestmannaeyjar,100,IS,2021-04-16,71,63.4427,-20.2734,5.75,8.71
91,Albany,98,US,2021-04-16,77,42.6001,-73.9662,4.44,2.74
92,Morón,31,AR,2021-04-16,80,-34.6534,-58.6198,20.56,1.43
93,Thompson,40,CA,2021-04-16,45,55.7435,-97.8558,5.0,3.6
94,Mahébourg,40,MU,2021-04-16,88,-20.4081,57.7,25.0,2.06
95,Batagay-Alyta,100,RU,2021-04-16,85,67.8006,130.4114,-7.7,1.49
96,Coquimbo,90,CL,2021-04-16,88,-29.9533,-71.3436,15.0,3.6
97,Songjianghe,68,CN,2021-04-16,22,42.1859,127.479,7.96,4.41
98,The Valley,20,AI,2021-04-16,83,18.217,-63.0578,27.0,4.12
99,San Cristobal,40,VE,2021-04-16,61,7.7669,-72.225,29.0,3.09
100,Verkhoyansk,100,RU,2021-04-16,79,67.5447,133.385,-1.41,9.29
101,Hambantota,75,LK,2021-04-16,100,6.1241,81.1185,26.0,1.54
102,Hithadhoo,57,MV,2021-04-16,62,-0.6,73.0833,27.62,1.59
103,Kahului,40,US,2021-04-16,61,20.8947,-156.47,26.0,4.12
104,Khatanga,100,RU,2021-04-16,89,71.9667,102.5,-11.36,4.47
105,Bandarawela,75,LK,2021-04-16,100,6.8305,80.9888,26.0,1.54
106,Auki,38,SB,2021-04-16,73,-8.7676,160.7034,28.96,0.78
107,Sonoma,20,US,2021-04-16,71,38.55,-122.9011,13.33,5.14
108,Acapulco de Juárez,75,MX,2021-04-16,74,16.8634,-99.8901,27.0,5.14
109,Tiarei,20,PF,2021-04-16,66,-17.5333,-149.3333,30.0,5.14
110,Porto-Novo,20,BJ,2021-04-16,78,6.4965,2.6036,28.0,3.09
111,Cape Town,0,ZA,2021-04-16,87,-33.9258,18.4232,20.0,1.03
112,Brownsville,1,US,2021-04-16,83,25.9018,-97.4975,26.0,3.09
113,San Miguel de Tucumán,75,AR,2021-04-16,83,-26.8241,-65.2226,24.0,2.06
114,Cherskiy,96,RU,2021-04-16,77,68.75,161.3,-5.37,4.75
115,Airai,22,TL,2021-04-16,51,-8.9266,125.4092,23.35,2.37
116,Port Elizabeth,0,ZA,2021-04-16,67,-33.918,25.5701,16.0,6.69
117,Zyryanovsk,99,KZ,2021-04-16,90,49.7386,84.2719,3.78,0.55
118,Guaymas,1,MX,2021-04-16,14,27.9333,-110.9,27.0,5.14
119,Narsaq,4,GL,2021-04-16,35,60.9167,-46.05,-8.0,5.66
120,George Town,20,MY,2021-04-16,74,5.4112,100.3354,29.44,2.06
121,Aklavik,100,CA,2021-04-16,55,68.2191,-135.0107,2.0,1.54
122,Oktyabr'skiy,7,RU,2021-04-16,83,54.4815,53.471,6.51,3.28
123,Tabas,71,IR,2021-04-16,40,33.5959,56.9244,20.69,1.56
124,Port Augusta,75,AU,2021-04-16,55,-32.5,137.7667,19.44,4.63
125,Sisimiut,100,GL,2021-04-16,75,66.9395,-53.6735,-15.04,2.92
126,Quelimane,75,MZ,2021-04-16,83,-17.8786,36.8883,24.0,2.57
127,Puerto del Rosario,75,ES,2021-04-16,73,28.5004,-13.8627,20.0,6.69
128,Barreirinhas,100,BR,2021-04-16,91,-2.7469,-42.8264,24.69,2.22
129,Buala,54,SB,2021-04-16,69,-8.145,159.5921,29.7,1.85
130,Calhoun,1,US,2021-04-16,75,42.2506,-85.0005,7.22,2.76
131,Sørland,0,NO,2021-04-16,82,67.667,12.6934,4.72,6.83
132,Wum,100,CM,2021-04-16,86,6.3833,10.0667,19.22,1.52
133,Kalabo,44,ZM,2021-04-16,61,-14.97,22.6814,15.46,2.65
134,Vao,55,NC,2021-04-16,75,-22.6667,167.4833,23.39,7.76
135,Fort Nelson,20,CA,2021-04-16,20,58.8053,-122.7002,19.0,1.03
136,Iquitos,75,PE,2021-04-16,89,-3.7481,-73.2472,26.0,1.54
137,Bethel,95,US,2021-04-16,82,41.3712,-73.414,5.0,4.26
138,Hilo,90,US,2021-04-16,61,19.7297,-155.09,25.0,2.57
139,Tigil',90,RU,2021-04-16,81,57.8,158.6667,-0.79,9.38
140,Saint George,90,US,2021-04-16,31,37.1041,-113.5841,16.0,4.63
141,Asău,33,RO,2021-04-16,49,46.4333,26.4,2.22,2.14
142,Saint-Augustin,31,CA,2021-04-16,81,51.226,-58.6502,-0.7,4.65
143,Atuona,100,PF,2021-04-16,77,-9.8,-139.0333,27.05,8.07
144,Beaufort,40,MY,2021-04-16,79,5.3473,115.7455,29.0,1.54
145,Saskylakh,100,RU,2021-04-16,92,71.9167,114.0833,-15.21,6.8
146,Ocaña,94,CO,2021-04-16,89,8.2377,-73.356,18.88,1.97
147,Innisfail,63,AU,2021-04-16,67,-17.5333,146.0333,27.47,5.26
148,Isangel,75,VU,2021-04-16,74,-19.55,169.2667,29.0,5.14
149,Plyussa,68,RU,2021-04-16,79,58.4308,29.3654,4.12,3.81
150,Ferry Pass,20,US,2021-04-16,72,30.5102,-87.2125,19.0,2.06
151,Anadyr,0,RU,2021-04-16,80,64.75,177.4833,2.0,11.0
152,Akonolinga,100,CM,2021-04-16,92,3.7667,12.25,19.44,1.37
153,Aksu,100,CN,2021-04-16,37,41.1231,80.2644,17.15,2.84
154,Bonavista,28,CA,2021-04-16,86,48.6499,-53.1147,0.56,1.54
155,Seybaplaya,2,MX,2021-04-16,70,19.65,-90.6667,27.35,5.06
156,Itaituba,100,BR,2021-04-16,98,-4.2761,-55.9836,23.05,1.0
157,Bredasdorp,2,ZA,2021-04-16,93,-34.5322,20.0403,8.0,1.45
158,Kérouané,100,GN,2021-04-16,72,9.2667,-9.0167,24.32,1.12
159,Arman',97,RU,2021-04-16,79,59.7,150.1667,-3.56,1.69
160,Solnechnyy,100,RU,2021-04-16,78,50.7214,136.6319,5.56,1.45
161,Butaritari,59,KI,2021-04-16,74,3.0707,172.7902,27.98,3.97
162,Los Llanos de Aridane,20,ES,2021-04-16,73,28.6585,-17.9182,20.0,7.2
163,Ratnagiri,0,IN,2021-04-16,61,16.9833,73.3,28.46,3.13
164,Provideniya,59,RU,2021-04-16,90,64.3833,-173.3,0.91,3.22
165,Vila Franca do Campo,75,PT,2021-04-16,100,37.7167,-25.4333,16.0,4.12
166,Morro Bay,3,US,2021-04-16,91,35.3658,-120.8499,11.67,1.79
167,Aksha,12,RU,2021-04-16,21,50.2814,113.2867,11.68,3.97
168,Gorontalo,92,ID,2021-04-16,61,0.5412,123.0595,31.02,2.4
169,Cidreira,100,BR,2021-04-16,81,-30.1811,-50.2056,20.84,2.67
170,Kenai,1,US,2021-04-16,49,60.5544,-151.2583,11.0,5.66
171,Fuling,100,CN,2021-04-16,76,29.7022,107.3919,18.33,1.39
172,Galesong,20,ID,2021-04-16,58,-5.3166,119.3661,30.0,1.54
173,Isfana,10,KG,2021-04-16,51,39.8386,69.5306,16.0,1.0
174,Myitkyina,100,MM,2021-04-16,34,25.3833,97.4,27.03,0.19
175,São Filipe,2,CV,2021-04-16,74,14.8961,-24.4956,21.55,4.85
